"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.981320947E0,2.979300357E-2,-1.177893206E-1,-1.595569253E-1
3.991391748E0,3.130450100E-2,-1.130831093E-1,-1.720350236E-1
4.001493066E0,3.083984368E-2,-1.055761874E-1,-1.660129428E-1
4.011533350E0,3.034203872E-2,-1.001193076E-1,-1.512229294E-1
4.021543115E0,2.786631510E-2,-9.768851846E-2,-1.325282156E-1
4.031552881E0,2.827922255E-2,-9.731858224E-2,-1.274380386E-1
4.041715234E0,2.866500430E-2,-9.901717305E-2,-1.349789351E-1
4.051847070E0,2.999511734E-2,-1.027603969E-1,-1.512645036E-1
4.061887354E0,3.226514161E-2,-1.075470373E-1,-1.685143858E-1
4.071958154E0,3.256218135E-2,-1.124093235E-1,-1.886730641E-1
4.082089990E0,3.090011328E-2,-1.154232770E-1,-2.059005052E-1
4.092313379E0,2.824918926E-2,-1.155578494E-1,-2.085308135E-1
4.102445215E0,2.267996967E-2,-1.147764102E-1,-2.082348764E-1
4.112638086E0,2.197729610E-2,-1.130393669E-1,-2.128021270E-1
4.122800440E0,2.517574839E-2,-1.084303185E-1,-2.124962062E-1
4.133145898E0,2.740898356E-2,-1.067684069E-1,-1.956478506E-1
4.152524561E0,3.190096840E-2,-1.113079265E-1,-1.444277167E-1
4.162595361E0,3.414615616E-2,-1.155136824E-1,-1.489817053E-1
4.172666162E0,3.929764032E-2,-1.167828962E-1,-1.681336462E-1
